timestamp,open,high,low,close,volume,dividends,stock_splits
2014-01-31,98.44,98.44,98.44,98.44,0.0,0.0,0
2014-02-10,98.43,98.43,98.43,98.43,0.0,0.0,0
2014-02-11,98.23,98.23,98.23,98.23,0.0,0.0,0
2014-02-12,98.09,98.09,98.09,98.09,0.0,0.0,0
2014-02-13,98.32,98.32,98.32,98.32,0.0,0.0,0
2014-02-14,98.29,98.29,98.29,98.29,0.0,0.0,0
2014-02-17,98.29,98.29,98.29,98.29,0.0,0.0,0
2014-02-18,98.43,98.43,98.43,98.43,0.0,0.0,0
2014-02-19,98.33,98.33,98.33,98.33,0.0,0.0,0
2014-02-20,98.24,98.24,98.24,98.24,0.0,0.0,0
2014-02-21,98.31,98.31,98.31,98.31,0.0,0.0,0
2014-02-24,98.26,98.26,98.26,98.26,0.0,0.0,0
2014-02-25,98.46,98.46,98.46,98.46,0.0,0.0,0
2014-02-26,98.6,98.6,98.6,98.6,0.0,0.0,0
2014-02-27,98.69,98.69,98.69,98.69,0.0,0.0,0
2014-02-28,98.65,98.65,98.65,98.65,0.0,0.0,0
2014-03-03,98.87,98.87,98.87,98.87,0.0,0.0,0
2014-03-04,98.5,98.5,98.5,98.5,0.0,0.0,0
2014-03-05,98.54,98.54,98.54,98.54,0.0,0.0,0
2014-03-06,98.33,98.33,98.33,98.33,0.0,0.0,0
2014-03-07,98.09,98.09,98.09,98.09,0.0,0.0,0
2014-03-10,98.15,98.15,98.15,98.15,0.0,0.0,0
2014-03-11,98.2,98.2,98.2,98.2,0.0,0.0,0
2014-03-12,98.37,98.37,98.37,98.37,0.0,0.0,0
2014-03-13,98.69,98.69,98.69,98.69,0.0,0.0,0
2014-03-14,98.67,98.67,98.67,98.67,0.0,0.0,0
2014-03-18,98.6,98.6,98.6,98.6,0.0,0.0,0
2014-03-19,98.11,98.11,98.11,98.11,0.0,0.0,0
2014-03-20,98.09,98.09,98.09,98.09,0.0,0.0,0
2014-03-21,98.21,98.21,98.21,98.21,0.0,0.0,0
2014-03-24,98.25,98.25,98.25,98.25,0.0,0.0,0
2014-03-25,98.22,98.22,98.22,98.22,0.0,0.0,0
2014-03-26,98.44,98.44,98.44,98.44,0.0,0.0,0
2014-03-27,98.49,98.49,98.49,98.49,0.0,0.0,0
2014-03-28,98.33,98.33,98.33,98.33,0.0,0.0,0
2014-03-31,98.38,98.38,98.38,98.38,0.0,0.0,0
2014-04-01,98.24,98.24,98.24,98.24,0.0,0.0,0
2014-04-02,98.04,98.04,98.04,98.04,0.0,0.0,0
2014-04-03,98.09,98.09,98.09,98.09,0.0,0.0,0
