Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20190207|A|3619|0|34762|N
20190207|AA|143071|0|489322|N
20190207|AAAU|427|0|1099|N
20190207|AABA|4787|0|44009|N
20190207|AAC|12261|0|27502|N
20190207|AAL|111386|0|343952|N
20190207|AAME|1700|0|3200|N
20190207|AAN|460|0|9465|N
20190207|AAOI|62722|230|101901|N
20190207|AAON|164|0|837|N
20190207|AAP|6704|0|39324|N
20190207|AAPL|2207100|500|3774349|N
20190207|AAU|11291|0|33796|N
20190207|AAWW|803|0|3002|N
20190207|AAXJ|7547|0|11808|N
20190207|AAXN|4860|0|13000|N
20190207|AB|6993|0|25348|N
20190207|ABB|34202|0|61415|N
20190207|ABBV|115596|0|269458|N
20190207|ABC|34518|0|53626|N
20190207|ABCB|182|0|1867|N
20190207|ABDC|219|0|4324|N
20190207|ABEO|25348|0|55587|N
20190207|ABEV|1218872|0|3350332|N
20190207|ABG|102|0|1319|N
20190207|ABIL|18325|0|52883|N
20190207|ABIO|2599|0|21565|N
20190207|ABM|1317|0|9143|N
20190207|ABMD|2916|0|9491|N
20190207|ABR|12629|0|24666|N
20190207|ABRpB|600|0|600|N
20190207|ABRpC|1113|0|1113|N
20190207|ABT|94943|0|301847|N
20190207|ABTX|447|0|8973|N
20190207|ABUS|15579|0|17123|N
20190207|ACA|350|0|952|N
20190207|ACAD|26237|20|61860|N
20190207|ACB|3011773|245|5869448|N
20190207|ACBI|396|0|1544|N
20190207|ACC|980|0|5713|N
20190207|ACCO|1640|0|13487|N
20190207|ACER|11|0|63|N
20190207|ACET|11594|0|41835|N
20190207|ACGL|11190|0|44001|N
20190207|ACGLO|287|0|704|N
20190207|ACGLP|199|0|364|N
20190207|ACH|10|0|316|N
20190207|ACHC|2412|0|3017|N
20190207|ACHN|27709|0|499930|N
20190207|ACHV|1005|0|5196|N
20190207|ACIA|789|0|6001|N
20190207|ACIM|1415|0|3291|N
20190207|ACIU|25375|0|61738|N
20190207|ACIW|859|0|11568|N
20190207|ACLS|5398|0|8073|N
20190207|ACM|18257|0|47882|N
20190207|ACMR|1200|0|1200|N
20190207|ACN|8721|0|48198|N
20190207|ACOR|6034|0|13156|N
20190207|ACP|6204|0|7436|N
20190207|ACRE|424|0|3039|N
