Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20190429|A|3644|0|32194|N
20190429|AA|148108|1041|235317|N
20190429|AAAU|10|0|137|N
20190429|AABA|1422|0|33826|N
20190429|AAC|4124|0|18215|N
20190429|AADR|27|0|649|N
20190429|AAL|220718|0|591123|N
20190429|AAN|2189|0|15570|N
20190429|AAOI|12325|0|39750|N
20190429|AAON|938|0|2096|N
20190429|AAP|4454|0|9302|N
20190429|AAPL|1448948|3100|2190107|N
20190429|AAT|249|0|11349|N
20190429|AAU|15667|0|74724|N
20190429|AAWW|6988|0|14936|N
20190429|AAXJ|3477|0|5316|N
20190429|AAXN|2634|0|39998|N
20190429|AB|31133|0|49851|N
20190429|ABB|14204|0|48573|N
20190429|ABBV|62210|0|256414|N
20190429|ABC|4798|0|29379|N
20190429|ABCB|545|0|2202|N
20190429|ABDC|330|0|1371|N
20190429|ABEO|13083|0|26010|N
20190429|ABEV|1522612|0|2800174|N
20190429|ABG|821|0|15945|N
20190429|ABIL|20934|0|35512|N
20190429|ABIO|2547|0|12695|N
20190429|ABM|29|0|760|N
20190429|ABMD|5991|0|19544|N
20190429|ABR|49808|0|73820|N
20190429|ABRpA|1200|0|1367|N
20190429|ABRpB|39|0|39|N
20190429|ABRpC|203|0|203|N
20190429|ABT|62373|0|205696|N
20190429|ABTX|1022|0|2824|N
20190429|ABUS|11697|0|29435|N
20190429|ACA|689|0|2037|N
20190429|ACAD|14179|0|42657|N
20190429|ACB|1532460|2137|3056161|N
20190429|ACBI|4612|0|7403|N
20190429|ACC|1818|0|34927|N
20190429|ACCO|4750|0|7822|N
20190429|ACER|137|0|5208|N
20190429|ACES|246|0|262|N
20190429|ACGL|1426|0|14782|N
20190429|ACGLP|2565|0|2961|N
20190429|ACH|215|0|576|N
20190429|ACHC|260|0|1827|N
20190429|ACHN|13987|0|120062|N
20190429|ACHV|46125|850|89999|N
20190429|ACIA|9565|0|64992|N
20190429|ACIM|239|0|323|N
20190429|ACIU|3149|0|8625|N
20190429|ACIW|1015|0|1814|N
20190429|ACLS|3|0|4020|N
20190429|ACM|5182|0|13365|N
20190429|ACMR|816|0|8333|N
20190429|ACN|7876|0|22798|N
20190429|ACOR|1557|0|20609|N
20190429|ACP|11045|0|15003|N
20190429|ACRE|1249|0|4163|N
20190429|ACRS|7477|0|13803|N
20190429|ACRX|182631|0|390694|N
20190429|ACST|8079|0|17663|N
20190429|ACT|565|0|889|N
20190429|ACTG|2649|0|7091|N
20190429|ACTTU|10|0|159|N
20190429|ACU|2625|0|3130|N
20190429|ACV|501|0|1426|N
20190429|ACWI|8501|0|16541|N
20190429|ACWV|6418|0|17078|N
20190429|ACWX|2061|0|7928|N
20190429|ACY|4|0|4|N
20190429|ADAP|17340|0|30177|N
20190429|ADBE|109154|0|213037|N
20190429|ADC|252|0|1863|N
20190429|ADES|10206|0|30957|N
20190429|ADI|16995|0|45318|N
20190429|ADIL|7422|0|18870|N
20190429|ADM|98239|0|341912|N
20190429|ADMA|34133|0|68705|N
20190429|ADMP|24724|0|52604|N
20190429|ADMS|2090|0|7855|N
20190429|ADNT|15524|0|48097|N
20190429|ADOM|73373|5201|126451|N
