Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20190710|A|622|0|622|B
20190710|AA|5016|0|10316|B
20190710|AABA|180|0|510|B
20190710|AAC|100|0|100|B
20190710|AAL|1071|0|9863|B
20190710|AAN|100|0|100|B
20190710|AAOI|1474|0|4214|B
20190710|AAON|821|0|872|B
20190710|AAP|213|0|213|B
20190710|AAPL|25692|0|57965|B
20190710|AAT|33|0|233|B
20190710|AAXN|752|0|2127|B
20190710|ABB|125|0|825|B
20190710|ABBV|3252|0|7746|B
20190710|ABC|200|0|200|B
20190710|ABCB|352|0|352|B
20190710|ABEO|100|0|100|B
20190710|ABG|50|0|54|B
20190710|ABMD|85|0|117|B
20190710|ABR|100|0|4914|B
20190710|ABT|695|0|1400|B
20190710|ABTX|4|0|4|B
20190710|ACA|1600|0|1658|B
20190710|ACB|1025|0|4328|B
20190710|ACC|100|0|100|B
20190710|ACCO|100|0|100|B
20190710|ACGL|100|0|100|B
20190710|ACH|200|0|200|B
20190710|ACHC|22|0|22|B
20190710|ACHN|100|0|100|B
20190710|ACHV|800|0|1000|B
20190710|ACIA|520|0|1155|B
20190710|ACLS|76|0|76|B
20190710|ACM|1069|0|1069|B
20190710|ACN|1041|0|1610|B
20190710|ACOR|1035|0|1235|B
20190710|ACP|564|0|2424|B
20190710|ACRE|1000|0|1000|B
20190710|ACRS|264|0|464|B
20190710|ACRX|1203|0|1493|B
20190710|ACST|1800|0|6400|B
20190710|ACTG|100|0|100|B
20190710|ACU|400|0|400|B
20190710|ACV|50|0|50|B
20190710|ACWF|45|0|45|B
20190710|ACWI|149|0|549|B
20190710|ACY|300|0|300|B
20190710|ADAP|70|0|70|B
20190710|ADBE|2156|0|3264|B
20190710|ADC|3|0|3|B
20190710|ADES|279|0|299|B
20190710|ADI|1800|0|3380|B
20190710|ADMP|3700|0|4100|B
20190710|ADMS|15|0|237|B
20190710|ADNT|520|0|1117|B
20190710|ADP|21|0|746|B
20190710|ADPT|718|0|5061|B
20190710|ADS|30|0|217|B
20190710|ADSK|133|0|871|B
20190710|ADSW|13|0|13|B
20190710|ADUS|2680|0|3583|B
20190710|ADVM|12323|0|15439|B
20190710|ADXS|3781|0|3881|B
20190710|AEIS|600|0|1314|B
20190710|AEL|10|0|337|B
20190710|AEM|2773|0|4776|B
20190710|AEO|3563|0|6363|B
20190710|AEP|11|0|136|B
20190710|AER|200|0|220|B
20190710|AERI|3|0|3|B
20190710|AES|1677|0|3677|B
20190710|AFB|50|0|50|B
20190710|AFI|800|0|900|B
20190710|AFK|1|0|41|B
20190710|AFL|100|0|200|B
20190710|AFMD|1100|0|1300|B
20190710|AG|8163|0|15183|B
20190710|AGCO|350|0|389|B
20190710|AGEN|300|0|919|B
20190710|AGG|654|0|1471|B
20190710|AGIO|1493|0|1693|B
20190710|AGN|713|0|1013|B
20190710|AGNC|1600|0|2969|B
20190710|AGQ|2286|0|3882|B
20190710|AGRX|10|0|50|B
20190710|AHH|200|0|200|B
20190710|AHT|600|0|1320|B
20190710|AHTpF|200|0|250|B
20190710|AHTpG|100|0|100|B
20190710|AI|2760|0|3660|B
20190710|AIF|50|0|201|B
20190710|AIMT|350|0|450|B
20190710|AIN|17|0|28|B
20190710|AINC|8|0|108|B
20190710|AINV|1760|0|1760|B
20190710|AIR|599|0|890|B
20190710|AIV|170|0|170|B
20190710|AJRD|169|0|338|B
20190710|AKAM|405|0|912|B
20190710|AKBA|1300|0|1400|B
20190710|AKO/B|75|0|475|B
20190710|AKR|100|0|700|B
20190710|AKRX|400|0|3837|B
20190710|AKS|1532|0|4432|B
20190710|AKTS|1000|0|4320|B
20190710|AL|60|0|60|B
20190710|ALB|220|0|425|B
20190710|ALBO|240|0|240|B
20190710|ALDR|300|0|300|B
20190710|ALDX|1000|0|1000|B
20190710|ALE|1140|0|1140|B
20190710|ALEC|23|0|23|B
20190710|ALGN|1142|0|2634|B
20190710|ALGT|910|0|1533|B
20190710|ALK|200|0|528|B
20190710|ALL|100|0|200|B
20190710|ALLK|950|0|1550|B
20190710|ALLO|258|0|358|B
20190710|ALLY|100|0|675|B
20190710|ALNY|378|0|378|B
20190710|ALPN|40|0|40|B
20190710|ALRM|212|0|612|B
20190710|ALT|9605|0|10205|B
20190710|ALV|1300|0|2480|B
20190710|ALX|2|0|2|B
20190710|ALXN|448|0|1679|B
20190710|AM|3000|0|17900|B
20190710|AMAL|33|0|33|B
20190710|AMAT|10051|0|18090|B
20190710|AMBA|70|0|70|B
20190710|AMC|4433|0|10676|B
20190710|AMCX|4|0|110|B
20190710|AMD|158896|0|312477|B
20190710|AME|300|0|512|B
20190710|AMGN|542|0|771|B
20190710|AMJ|150|0|150|B
20190710|AMLP|3340|0|7199|B
20190710|AMP|242|0|392|B
20190710|AMRN|5126|0|20238|B
20190710|AMRS|100|0|100|B
20190710|AMRX|16821|0|24090|B
20190710|AMSC|112|0|112|B
20190710|AMSWA|300|0|300|B
20190710|AMT|4|0|5490|B
