Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20191227|A|31355|2922|123314|Q
20191227|AA|307040|1772|558691|Q
20191227|AAAU|29776|0|38803|Q
20191227|AACG|13|0|3356|Q
20191227|AADR|1586|0|5608|Q
20191227|AAL|1324153|17243|2078273|Q
20191227|AAN|78950|200|139207|Q
20191227|AAOI|115097|3053|226210|Q
20191227|AAON|9010|0|12590|Q
20191227|AAP|84312|0|159823|Q
20191227|AAPL|4653651|62395|9482483|Q
20191227|AAT|7001|0|18756|Q
20191227|AAU|110726|100|165663|Q
20191227|AAWW|23110|0|36814|Q
20191227|AAXJ|139614|0|255627|Q
20191227|AAXN|55336|200|149873|Q
20191227|AB|14677|0|37269|Q
20191227|ABB|268789|1201|634701|Q
20191227|ABBV|319423|3185|945009|Q
20191227|ABC|56609|14|119827|Q
20191227|ABCB|15244|113|20971|Q
20191227|ABDC|6115|0|15312|Q
20191227|ABEO|173528|3530|347128|Q
20191227|ABEV|906504|0|2081498|Q
20191227|ABG|25762|0|30976|Q
20191227|ABIO|5502|0|10081|Q
20191227|ABM|16406|0|76193|Q
20191227|ABMD|41444|225|80404|Q
20191227|ABR|77829|0|258244|Q
20191227|ABRpA|120|0|1020|Q
20191227|ABRpB|100|0|100|Q
20191227|ABT|133957|551|389284|Q
20191227|ABTX|3935|100|9641|Q
20191227|ABUS|51325|0|126657|Q
20191227|AC|8|0|1146|Q
20191227|ACA|29876|0|76729|Q
20191227|ACAD|66866|1500|208947|Q
20191227|ACAMW|1900|0|1900|Q
20191227|ACB|4504076|100|9310352|Q
20191227|ACBI|2532|0|6106|Q
20191227|ACC|7863|626|59130|Q
20191227|ACCO|7731|0|33675|Q
20191227|ACEL|9156|0|19905|Q
20191227|ACER|4739|0|10256|Q
20191227|ACES|921|0|6401|Q
20191227|ACGL|69215|1395|132496|Q
20191227|ACGLO|2230|0|4675|Q
20191227|ACGLP|5258|500|11672|Q
20191227|ACH|643|0|8599|Q
20191227|ACHC|31890|0|74595|Q
20191227|ACHN|477510|1100|606941|Q
20191227|ACHV|216538|3227|531666|Q
20191227|ACIA|12199|0|40952|Q
20191227|ACIO|2330|0|3959|Q
20191227|ACIU|5588|0|17331|Q
20191227|ACIW|37798|0|135674|Q
20191227|ACLS|7603|0|35495|Q
20191227|ACM|13222|0|70825|Q
20191227|ACMR|8218|100|33879|Q
20191227|ACN|190284|500|311148|Q
20191227|ACNB|204|0|836|Q
20191227|ACOR|1294376|95467|2183270|Q
20191227|ACP|36083|411|78198|Q
20191227|ACRE|23465|0|43303|Q
20191227|ACRS|51834|0|173565|Q
20191227|ACRX|147372|7989|224028|Q
20191227|ACSG|166|0|167|Q
20191227|ACST|685509|54225|1483018|Q
20191227|ACT|21|0|1247|Q
20191227|ACTG|36848|0|56596|Q
20191227|ACTT|20|0|20|Q
20191227|ACTTW|4587|0|4587|Q
20191227|ACU|474|0|1560|Q
20191227|ACV|3087|0|9696|Q
20191227|ACWF|334|0|1464|Q
20191227|ACWI|106603|2800|457646|Q
20191227|ACWV|21408|0|95721|Q
20191227|ACWX|155249|0|535264|Q
20191227|ACY|934|0|9278|Q
20191227|ADAP|14584|725|64220|Q
20191227|ADBE|65167|518|214245|Q
20191227|ADC|23089|0|89963|Q
20191227|ADES|29130|0|53079|Q
20191227|ADI|95103|1564|184331|Q
20191227|ADIL|10874|0|15926|Q
20191227|ADM|178221|47064|323101|Q
20191227|ADMA|51975|0|114457|Q
20191227|ADME|4961|0|5589|Q
20191227|ADMP|83492|4219|236392|Q
20191227|ADMS|80287|264|165971|Q
20191227|ADNT|58550|146|153799|Q
20191227|ADP|60526|103|128155|Q
20191227|ADPT|81655|685|167681|Q
20191227|ADRD|40|0|40|Q
20191227|ADRE|2129|0|9924|Q
20191227|ADRO|59848|0|153066|Q
20191227|ADRU|10|0|111|Q
20191227|ADS|47175|100|125384|Q
20191227|ADSK|38553|376|101049|Q
20191227|ADSW|29731|0|52085|Q
20191227|ADT|166706|6711|267472|Q
20191227|ADTN|7942|0|34213|Q
20191227|ADUS|5179|8|12764|Q
20191227|ADVM|90786|0|268239|Q
20191227|ADX|55690|358|149132|Q
20191227|ADXS|2048863|37136|3324314|Q
20191227|AE|3159|0|4827|Q
20191227|AEB|2156|0|5093|Q
20191227|AEE|51582|2|176564|Q
20191227|AEF|3562|0|13959|Q
20191227|AEFC|10131|1400|28612|Q
20191227|AEG|125186|2308|752429|Q
20191227|AEGN|3694|0|8515|Q
20191227|AEHR|100|0|13159|Q
20191227|AEIS|29051|3|35273|Q
20191227|AEL|15873|0|41768|Q
20191227|AELpA|2201|0|9465|Q
20191227|AEM|66459|0|137808|Q
20191227|AEMD|104384|0|150962|Q
20191227|AEO|397472|3699|850145|Q
20191227|AEP|89556|37|198978|Q
20191227|AEPpB|47|0|347|Q
20191227|AER|21864|0|91665|Q
