Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20200327|A|163324|5014|396558|Q
20200327|AA|1139200|47921|3493232|Q
20200327|AAAU|88771|0|105184|Q
20200327|AACG|124|0|1085|Q
20200327|AADR|400|0|4864|Q
20200327|AAL|7652852|359522|16330280|Q
20200327|AAN|70694|1220|226950|Q
20200327|AAOI|158342|7406|293401|Q
20200327|AAON|25226|0|41248|Q
20200327|AAP|131004|300|218205|Q
20200327|AAPL|9082974|72607|14126990|Q
20200327|AAT|30328|100|88047|Q
20200327|AAU|31690|2668|86892|Q
20200327|AAWW|127571|100|181648|Q
20200327|AAXJ|161862|0|210117|Q
20200327|AAXN|106447|213|177652|Q
20200327|AB|79628|4281|198794|Q
20200327|ABB|178696|1481|361138|Q
20200327|ABBV|1769545|12419|3347526|Q
20200327|ABC|177673|748|330434|Q
20200327|ABCB|30841|0|71095|Q
20200327|ABEO|85024|0|221827|Q
20200327|ABEQ|2119|0|3772|Q
20200327|ABEV|2237828|59155|4049546|Q
20200327|ABG|38809|647|62401|Q
20200327|ABIO|196|0|2410|Q
20200327|ABM|65134|2322|440815|Q
20200327|ABMD|88084|3243|108635|Q
20200327|ABR|295248|15233|887590|Q
20200327|ABRpA|1032|0|1631|Q
20200327|ABRpB|150|0|1940|Q
20200327|ABRpC|250|50|2510|Q
20200327|ABT|760444|7871|1761406|Q
20200327|ABTX|8571|0|10713|Q
20200327|ABUS|817043|39458|3930950|Q
20200327|AC|311|1|787|Q
20200327|ACA|36606|0|59370|Q
20200327|ACAD|159327|335|273480|Q
20200327|ACAM|1177|0|4576|Q
20200327|ACB|20590897|156757|54792188|Q
20200327|ACBI|4898|0|11396|Q
20200327|ACC|160561|2789|611373|Q
20200327|ACCO|62866|0|133055|Q
20200327|ACEL|35512|0|43277|Q
20200327|ACEL/WS|290|0|290|Q
20200327|ACER|15378|327|33994|Q
20200327|ACES|4205|0|20285|Q
20200327|ACGL|317970|7912|969426|Q
20200327|ACGLO|14402|0|23188|Q
20200327|ACGLP|10521|160|20104|Q
20200327|ACH|9565|3500|12800|Q
20200327|ACHC|265570|20705|584800|Q
20200327|ACHV|40514|1600|85997|Q
20200327|ACIA|38749|1600|137821|Q
20200327|ACIO|104707|0|106946|Q
20200327|ACIU|25653|0|41120|Q
20200327|ACIW|50207|0|94311|Q
20200327|ACLS|18619|1068|46627|Q
20200327|ACM|248098|0|492226|Q
20200327|ACMR|33000|150|68476|Q
20200327|ACN|498438|868|766956|Q
20200327|ACNB|1726|0|3547|Q
20200327|ACOR|156119|1400|334097|Q
20200327|ACP|27575|0|65455|Q
20200327|ACRE|577962|630|844026|Q
20200327|ACRS|12903|0|24991|Q
20200327|ACRX|96911|7989|418989|Q
20200327|ACSI|197|0|874|Q
20200327|ACST|115198|6667|189056|Q
20200327|ACT|15|0|2099|Q
20200327|ACTG|21468|300|38891|Q
20200327|ACTT|800|0|250850|Q
20200327|ACU|2921|235|3672|Q
20200327|ACV|12630|1300|30893|Q
20200327|ACWF|3812|0|9424|Q
20200327|ACWI|784428|200|1289937|Q
20200327|ACWV|263470|300|348824|Q
20200327|ACWX|1754849|10551|2294803|Q
20200327|ACY|4329|400|7332|Q
20200327|ADAP|85223|300|390045|Q
20200327|ADBE|500177|863|1082001|Q
20200327|ADC|124504|200|206761|Q
20200327|ADES|20005|0|27103|Q
20200327|ADI|326812|2089|567926|Q
20200327|ADIL|15444|1000|38115|Q
20200327|ADM|311954|1231|525904|Q
20200327|ADMA|349797|537|657208|Q
20200327|ADME|65831|0|80144|Q
20200327|ADMP|137754|5244|231720|Q
20200327|ADMS|9262|0|33976|Q
20200327|ADNT|257990|308|507826|Q
20200327|ADP|345495|2575|669212|Q
20200327|ADPT|74311|2879|155806|Q
20200327|ADRE|741|0|3784|Q
20200327|ADRO|51576|20|103695|Q
20200327|ADS|177105|629|505339|Q
20200327|ADSK|237404|16180|679192|Q
20200327|ADSW|42386|200|455122|Q
20200327|ADT|159863|4|310326|Q
20200327|ADTN|49662|1|111874|Q
20200327|ADUS|10928|348|23289|Q
20200327|ADVM|44137|0|99995|Q
20200327|ADX|117372|1538|177734|Q
20200327|ADXN|100|0|100|Q
20200327|ADXS|120387|4307|253763|Q
20200327|AE|1114|550|2182|Q
20200327|AEB|5031|469|7724|Q
20200327|AEE|204462|2100|441711|Q
20200327|AEF|6181|0|24667|Q
20200327|AEFC|7709|170|24239|Q
20200327|AEG|320718|571|482767|Q
20200327|AEGN|43210|1300|109000|Q
20200327|AEHR|7176|100|20487|Q
20200327|AEIS|34564|419|66459|Q
20200327|AEL|86959|1447|144773|Q
20200327|AELpA|21167|1700|67482|Q
20200327|AEM|181280|100|588310|Q
20200327|AEMD|93346|402|147425|Q
20200327|AEO|504990|2929|1062789|Q
20200327|AEP|358757|106|789798|Q
20200327|AEPpB|280175|610|380969|Q
20200327|AER|240479|15149|918916|Q
20200327|AERI|68719|0|250854|Q
20200327|AES|402137|8133|1332194|Q
20200327|AESE|417|0|1134|Q
20200327|AESR|244896|0|245221|Q
20200327|AEY|14378|100|25744|Q
20200327|AEYE|7165|0|7909|Q
20200327|AEZS|80484|100|110079|Q
20200327|AFB|24163|196|35865|Q
20200327|AFC|3144|480|6088|Q
20200327|AFG|77998|0|112149|Q
20200327|AFGB|5430|0|7951|Q
20200327|AFGC|1924|0|5336|Q
20200327|AFGH|4034|0|7534|Q
20200327|AFH|3745|1000|19985|Q
