Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20190920|A|301360|13077|708955|Q
20190920|AA|305559|9265|804080|Q
20190920|AAAU|18339|0|19845|Q
20190920|AABA|802495|7786|2868534|Q
20190920|AAC|15877|0|19788|Q
20190920|AADR|7|0|2197|Q
20190920|AAL|568964|5980|1246573|Q
20190920|AAME|300|0|500|Q
20190920|AAN|76189|0|106382|Q
20190920|AAOI|76262|134|162480|Q
20190920|AAON|20150|0|46355|Q
20190920|AAP|100065|104|151182|Q
20190920|AAPL|3494088|40695|6276984|Q
20190920|AAT|50272|21|76441|Q
20190920|AAU|2833|0|42406|Q
20190920|AAWW|37722|0|164086|Q
20190920|AAXJ|42139|152|169875|Q
20190920|AAXN|35881|0|62924|Q
20190920|AB|13123|0|28152|Q
20190920|ABB|119323|100|184585|Q
20190920|ABBV|1543305|4823|2736004|Q
20190920|ABC|157756|0|295428|Q
20190920|ABCB|63920|109|121645|Q
20190920|ABDC|1917|0|6303|Q
20190920|ABEO|121513|800|209370|Q
20190920|ABEV|1565691|11400|3336851|Q
20190920|ABG|6440|71|9384|Q
20190920|ABIL|19300|0|43154|Q
20190920|ABIO|2237|0|5969|Q
20190920|ABM|33083|191|59274|Q
20190920|ABMD|139739|0|163479|Q
20190920|ABR|119152|791|188284|Q
20190920|ABRpA|1050|0|1050|Q
20190920|ABRpC|100|0|1000|Q
20190920|ABT|279475|7051|741076|Q
20190920|ABTX|49848|0|65237|Q
20190920|ABUS|37685|0|131987|Q
20190920|AC|398|0|1745|Q
20190920|ACA|10761|117|46889|Q
20190920|ACAD|192402|3224|389034|Q
20190920|ACB|2955710|29480|6067149|Q
20190920|ACBI|74975|0|83111|Q
20190920|ACC|45838|6|187640|Q
20190920|ACCO|27024|0|71176|Q
20190920|ACER|12679|0|23839|Q
20190920|ACES|1356|0|1888|Q
20190920|ACGL|91947|25|170839|Q
20190920|ACGLO|2090|0|3421|Q
20190920|ACGLP|7419|0|9027|Q
20190920|ACH|2054|0|7938|Q
